ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,MaxEntropy,50,109,100
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,MaxEntropy,50,109,110
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,MaxEntropy,50,109,120
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,MaxEntropy,50,109,130
10005_1.1_01_ARC1,15,5,1,20,16,4,4,0.800,0.200,6,0.300,MaxEntropy,50,113,100
10005_1.1_01_ARC1,15,5,1,20,16,4,4,0.800,0.200,6,0.300,MaxEntropy,50,113,110
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,MaxEntropy,50,113,120
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,MaxEntropy,50,113,130
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,MaxEntropy,58,109,100
10005_1.1_01_ARC1,12,8,0,20,12,8,8,0.600,0.400,8,0.400,MaxEntropy,58,109,110
10005_1.1_01_ARC1,12,8,0,20,12,8,8,0.600,0.400,8,0.400,MaxEntropy,58,109,120
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,MaxEntropy,58,109,130
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,MaxEntropy,58,113,100
10005_1.1_01_ARC1,13,7,0,20,13,7,7,0.650,0.350,7,0.350,MaxEntropy,58,113,110
10005_1.1_01_ARC1,12,8,0,20,12,8,8,0.600,0.400,8,0.400,MaxEntropy,58,113,120
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,MaxEntropy,58,113,130
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,MaxEntropy,66,109,100
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,MaxEntropy,66,109,110
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,66,109,120
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,66,109,130
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,MaxEntropy,66,113,100
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,MaxEntropy,66,113,110
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,MaxEntropy,66,113,120
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,MaxEntropy,66,113,130
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,74,109,100
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,74,109,110
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,74,109,120
10005_1.1_01_ARC1,7,13,0,20,7,13,13,0.350,0.650,13,0.650,MaxEntropy,74,109,130
10005_1.1_01_ARC1,9,11,0,20,9,11,11,0.450,0.550,11,0.550,MaxEntropy,74,113,100
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,74,113,110
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,74,113,120
10005_1.1_01_ARC1,8,12,0,20,8,12,12,0.400,0.600,12,0.600,MaxEntropy,74,113,130
10005_1.1_01_ARC1,18,2,6,20,24,-4,4,1.200,0.200,8,0.400,Moments,50,109,100
