ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10001_1.1_01_ARC1,18,11,7,29,25,4,4,0.862,0.138,18,0.621,Moments,74,109,100
10001_1.1_01_ARC1,17,12,7,29,24,5,5,0.828,0.172,19,0.655,Moments,74,109,110
10001_1.1_01_ARC1,14,15,4,29,18,11,11,0.621,0.379,19,0.655,Moments,74,109,120
10001_1.1_01_ARC1,12,17,4,29,16,13,13,0.552,0.448,21,0.724,Moments,74,109,130
10001_1.1_01_ARC1,21,8,11,29,32,-3,3,1.103,0.103,19,0.655,Moments,74,113,100
10001_1.1_01_ARC1,19,10,9,29,28,1,1,0.966,0.034,19,0.655,Moments,74,113,110
10001_1.1_01_ARC1,18,11,7,29,25,4,4,0.862,0.138,18,0.621,Moments,74,113,120
10001_1.1_01_ARC1,15,14,4,29,19,10,10,0.655,0.345,18,0.621,Moments,74,113,130
10001_1.1_01_ARC1,26,3,25,29,51,-22,22,1.759,0.759,28,0.966,Otsu,50,109,100
10001_1.1_01_ARC1,26,3,18,29,44,-15,15,1.517,0.517,21,0.724,Otsu,50,109,110
10001_1.1_01_ARC1,26,3,17,29,43,-14,14,1.483,0.483,20,0.690,Otsu,50,109,120
10001_1.1_01_ARC1,25,4,15,29,40,-11,11,1.379,0.379,19,0.655,Otsu,50,109,130
10001_1.1_01_ARC1,26,3,31,29,57,-28,28,1.966,0.966,34,1.172,Otsu,50,113,100
10001_1.1_01_ARC1,26,3,24,29,50,-21,21,1.724,0.724,27,0.931,Otsu,50,113,110
10001_1.1_01_ARC1,26,3,19,29,45,-16,16,1.552,0.552,22,0.759,Otsu,50,113,120
10001_1.1_01_ARC1,25,4,18,29,43,-14,14,1.483,0.483,22,0.759,Otsu,50,113,130
10001_1.1_01_ARC1,26,3,16,29,42,-13,13,1.448,0.448,19,0.655,Otsu,58,109,100
10001_1.1_01_ARC1,26,3,12,29,38,-9,9,1.310,0.310,15,0.517,Otsu,58,109,110
10001_1.1_01_ARC1,26,3,11,29,37,-8,8,1.276,0.276,14,0.483,Otsu,58,109,120
10001_1.1_01_ARC1,25,4,11,29,36,-7,7,1.241,0.241,15,0.517,Otsu,58,109,130
10001_1.1_01_ARC1,26,3,22,29,48,-19,19,1.655,0.655,25,0.862,Otsu,58,113,100
10001_1.1_01_ARC1,26,3,20,29,46,-17,17,1.586,0.586,23,0.793,Otsu,58,113,110
10001_1.1_01_ARC1,26,3,15,29,41,-12,12,1.414,0.414,18,0.621,Otsu,58,113,120
10001_1.1_01_ARC1,26,3,13,29,39,-10,10,1.345,0.345,16,0.552,Otsu,58,113,130
10001_1.1_01_ARC1,23,6,13,29,36,-7,7,1.241,0.241,19,0.655,Otsu,66,109,100
10001_1.1_01_ARC1,22,7,12,29,34,-5,5,1.172,0.172,19,0.655,Otsu,66,109,110
10001_1.1_01_ARC1,22,7,9,29,31,-2,2,1.069,0.069,16,0.552,Otsu,66,109,120
10001_1.1_01_ARC1,21,8,7,29,28,1,1,0.966,0.034,15,0.517,Otsu,66,109,130
10001_1.1_01_ARC1,24,5,20,29,44,-15,15,1.517,0.517,25,0.862,Otsu,66,113,100
10001_1.1_01_ARC1,23,6,15,29,38,-9,9,1.310,0.310,21,0.724,Otsu,66,113,110
10001_1.1_01_ARC1,23,6,14,29,37,-8,8,1.276,0.276,20,0.690,Otsu,66,113,120
10001_1.1_01_ARC1,22,7,12,29,34,-5,5,1.172,0.172,19,0.655,Otsu,66,113,130
10001_1.1_01_ARC1,18,11,7,29,25,4,4,0.862,0.138,18,0.621,Otsu,74,109,100
10001_1.1_01_ARC1,17,12,7,29,24,5,5,0.828,0.172,19,0.655,Otsu,74,109,110
10001_1.1_01_ARC1,15,14,6,29,21,8,8,0.724,0.276,20,0.690,Otsu,74,109,120
10001_1.1_01_ARC1,12,17,5,29,17,12,12,0.586,0.414,22,0.759,Otsu,74,109,130
10001_1.1_01_ARC1,21,8,11,29,32,-3,3,1.103,0.103,19,0.655,Otsu,74,113,100
10001_1.1_01_ARC1,19,10,10,29,29,0,0,1.000,0.000,20,0.690,Otsu,74,113,110
10001_1.1_01_ARC1,18,11,8,29,26,3,3,0.897,0.103,19,0.655,Otsu,74,113,120
10001_1.1_01_ARC1,15,14,5,29,20,9,9,0.690,0.310,19,0.655,Otsu,74,113,130
10001_1.1_01_ARC1,25,4,347,29,372,-343,343,12.828,11.828,351,12.103,Triangle,50,109,100
10001_1.1_01_ARC1,25,4,311,29,336,-307,307,11.586,10.586,315,10.862,Triangle,50,109,110
10001_1.1_01_ARC1,25,4,274,29,299,-270,270,10.310,9.310,278,9.586,Triangle,50,109,120
10001_1.1_01_ARC1,25,4,252,29,277,-248,248,9.552,8.552,256,8.828,Triangle,50,109,130
10001_1.1_01_ARC1,25,4,354,29,379,-350,350,13.069,12.069,358,12.345,Triangle,50,113,100
10001_1.1_01_ARC1,25,4,320,29,345,-316,316,11.897,10.897,324,11.172,Triangle,50,113,110
10001_1.1_01_ARC1,25,4,279,29,304,-275,275,10.483,9.483,283,9.759,Triangle,50,113,120
10001_1.1_01_ARC1,25,4,256,29,281,-252,252,9.690,8.690,260,8.966,Triangle,50,113,130
10001_1.1_01_ARC1,27,2,203,29,230,-201,201,7.931,6.931,205,7.069,Triangle,58,109,100
10001_1.1_01_ARC1,27,2,168,29,195,-166,166,6.724,5.724,170,5.862,Triangle,58,109,110
10001_1.1_01_ARC1,27,2,140,29,167,-138,138,5.759,4.759,142,4.897,Triangle,58,109,120
