ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10003_1.1_01_ARC1,26,1,5,27,31,-4,4,1.148,0.148,6,0.222,MaxEntropy,50,109,100
10003_1.1_01_ARC1,26,1,3,27,29,-2,2,1.074,0.074,4,0.148,MaxEntropy,50,109,110
10003_1.1_01_ARC1,26,1,2,27,28,-1,1,1.037,0.037,3,0.111,MaxEntropy,50,109,120
10003_1.1_01_ARC1,26,1,2,27,28,-1,1,1.037,0.037,3,0.111,MaxEntropy,50,109,130
10003_1.1_01_ARC1,26,1,5,27,31,-4,4,1.148,0.148,6,0.222,MaxEntropy,50,113,100
10003_1.1_01_ARC1,26,1,5,27,31,-4,4,1.148,0.148,6,0.222,MaxEntropy,50,113,110
10003_1.1_01_ARC1,26,1,4,27,30,-3,3,1.111,0.111,5,0.185,MaxEntropy,50,113,120
10003_1.1_01_ARC1,26,1,3,27,29,-2,2,1.074,0.074,4,0.148,MaxEntropy,50,113,130
10003_1.1_01_ARC1,25,2,1,27,26,1,1,0.963,0.037,3,0.111,MaxEntropy,58,109,100
10003_1.1_01_ARC1,24,3,1,27,25,2,2,0.926,0.074,4,0.148,MaxEntropy,58,109,110
10003_1.1_01_ARC1,21,6,1,27,22,5,5,0.815,0.185,7,0.259,MaxEntropy,58,109,120
10003_1.1_01_ARC1,20,7,1,27,21,6,6,0.778,0.222,8,0.296,MaxEntropy,58,109,130
10003_1.1_01_ARC1,25,2,2,27,27,0,0,1.000,0.000,4,0.148,MaxEntropy,58,113,100
10003_1.1_01_ARC1,25,2,2,27,27,0,0,1.000,0.000,4,0.148,MaxEntropy,58,113,110
10003_1.1_01_ARC1,23,4,2,27,25,2,2,0.926,0.074,6,0.222,MaxEntropy,58,113,120
10003_1.1_01_ARC1,21,6,2,27,23,4,4,0.852,0.148,8,0.296,MaxEntropy,58,113,130
10003_1.1_01_ARC1,19,8,1,27,20,7,7,0.741,0.259,9,0.333,MaxEntropy,66,109,100
10003_1.1_01_ARC1,17,10,1,27,18,9,9,0.667,0.333,11,0.407,MaxEntropy,66,109,110
10003_1.1_01_ARC1,16,11,1,27,17,10,10,0.630,0.370,12,0.444,MaxEntropy,66,109,120
10003_1.1_01_ARC1,15,12,1,27,16,11,11,0.593,0.407,13,0.481,MaxEntropy,66,109,130
10003_1.1_01_ARC1,19,8,2,27,21,6,6,0.778,0.222,10,0.370,MaxEntropy,66,113,100
