ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10001_1.1_01_ARC1,13,16,1,29,14,15,15,0.483,0.517,17,0.586,MaxEntropy,50,109,100
10001_1.1_01_ARC1,11,18,1,29,12,17,17,0.414,0.586,19,0.655,MaxEntropy,50,109,110
10001_1.1_01_ARC1,10,19,1,29,11,18,18,0.379,0.621,20,0.690,MaxEntropy,50,109,120
10001_1.1_01_ARC1,10,19,1,29,11,18,18,0.379,0.621,20,0.690,MaxEntropy,50,109,130
10001_1.1_01_ARC1,13,16,1,29,14,15,15,0.483,0.517,17,0.586,MaxEntropy,50,113,100
10001_1.1_01_ARC1,11,18,1,29,12,17,17,0.414,0.586,19,0.655,MaxEntropy,50,113,110
10001_1.1_01_ARC1,11,18,1,29,12,17,17,0.414,0.586,19,0.655,MaxEntropy,50,113,120
10001_1.1_01_ARC1,11,18,1,29,12,17,17,0.414,0.586,19,0.655,MaxEntropy,50,113,130
10001_1.1_01_ARC1,11,18,1,29,12,17,17,0.414,0.586,19,0.655,MaxEntropy,58,109,100
10001_1.1_01_ARC1,8,21,1,29,9,20,20,0.310,0.690,22,0.759,MaxEntropy,58,109,110
10001_1.1_01_ARC1,7,22,1,29,8,21,21,0.276,0.724,23,0.793,MaxEntropy,58,109,120
10001_1.1_01_ARC1,7,22,1,29,8,21,21,0.276,0.724,23,0.793,MaxEntropy,58,109,130
10001_1.1_01_ARC1,11,18,1,29,12,17,17,0.414,0.586,19,0.655,MaxEntropy,58,113,100
10001_1.1_01_ARC1,8,21,1,29,9,20,20,0.310,0.690,22,0.759,MaxEntropy,58,113,110
10001_1.1_01_ARC1,8,21,1,29,9,20,20,0.310,0.690,22,0.759,MaxEntropy,58,113,120
10001_1.1_01_ARC1,7,22,1,29,8,21,21,0.276,0.724,23,0.793,MaxEntropy,58,113,130
10001_1.1_01_ARC1,6,23,1,29,7,22,22,0.241,0.759,24,0.828,MaxEntropy,66,109,100
10001_1.1_01_ARC1,5,24,1,29,6,23,23,0.207,0.793,25,0.862,MaxEntropy,66,109,110
10001_1.1_01_ARC1,4,25,1,29,5,24,24,0.172,0.828,26,0.897,MaxEntropy,66,109,120
10001_1.1_01_ARC1,3,26,1,29,4,25,25,0.138,0.862,27,0.931,MaxEntropy,66,109,130
10001_1.1_01_ARC1,6,23,1,29,7,22,22,0.241,0.759,24,0.828,MaxEntropy,66,113,100
10001_1.1_01_ARC1,5,24,1,29,6,23,23,0.207,0.793,25,0.862,MaxEntropy,66,113,110
