Avg Acc,Avg Acc Dif,Avg Errors,Avg Error Rate,Threshold,Lower Hue,Upper Hue,Pixel Size
0.898,0.102,32.000,1.222,Triangle,66,109,110
0.769,0.231,30.667,1.174,Triangle,66,109,120
0.663,0.337,29.333,1.126,Triangle,66,109,130
1.197,0.197,37.667,1.441,Triangle,66,113,100
1.105,0.105,36.000,1.382,Triangle,66,113,110
0.940,0.060,33.000,1.264,Triangle,66,113,120
0.768,0.232,31.333,1.198,Triangle,66,113,130
0.809,0.191,35.333,1.343,Triangle,74,109,100
0.672,0.328,32.333,1.239,Triangle,74,109,110
0.648,0.352,31.667,1.215,Triangle,74,109,120
0.575,0.425,29.667,1.142,Triangle,74,109,130
1.008,0.041,38.333,1.470,Triangle,74,113,100
0.842,0.158,35.333,1.353,Triangle,74,113,110
0.737,0.263,34.000,1.305,Triangle,74,113,120
0.647,0.353,31.667,1.214,Triangle,74,113,130
0.240,0.760,19.333,0.760,Intermodes,50,109,100
0.229,0.771,19.667,0.771,Intermodes,50,109,110
0.217,0.783,20.000,0.783,Intermodes,50,109,120
0.217,0.783,20.000,0.783,Intermodes,50,109,130
0.240,0.760,19.333,0.760,Intermodes,50,113,100
0.229,0.771,19.667,0.771,Intermodes,50,113,110
0.217,0.783,20.000,0.783,Intermodes,50,113,120
0.217,0.783,20.000,0.783,Intermodes,50,113,130
0.217,0.783,20.000,0.783,Intermodes,58,109,100
0.217,0.783,20.000,0.783,Intermodes,58,109,110
0.205,0.795,20.333,0.795,Intermodes,58,109,120
0.205,0.795,20.333,0.795,Intermodes,58,109,130
0.217,0.783,20.000,0.783,Intermodes,58,113,100
0.217,0.783,20.000,0.783,Intermodes,58,113,110
0.205,0.795,20.333,0.795,Intermodes,58,113,120
0.205,0.795,20.333,0.795,Intermodes,58,113,130
0.129,0.871,22.333,0.871,Intermodes,66,109,100
0.118,0.882,22.667,0.882,Intermodes,66,109,110
0.118,0.882,22.667,0.882,Intermodes,66,109,120
0.118,0.882,22.667,0.882,Intermodes,66,109,130
0.129,0.871,22.333,0.871,Intermodes,66,113,100
0.118,0.882,22.667,0.882,Intermodes,66,113,110
0.118,0.882,22.667,0.882,Intermodes,66,113,120
0.118,0.882,22.667,0.882,Intermodes,66,113,130
0.118,0.882,22.667,0.882,Intermodes,74,109,100
0.118,0.882,22.667,0.882,Intermodes,74,109,110
0.118,0.882,22.667,0.882,Intermodes,74,109,120
0.101,0.899,23.000,0.899,Intermodes,74,109,130
0.118,0.882,22.667,0.882,Intermodes,74,113,100
0.118,0.882,22.667,0.882,Intermodes,74,113,110
0.118,0.882,22.667,0.882,Intermodes,74,113,120
0.101,0.899,23.000,0.899,Intermodes,74,113,130
